Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
FA,FA,11.089,27.401,11/5/2019,PP,2019,00FA,
FB,FB,10.631,26.27,11/5/2019,PP,2019,00FB,
1D,1D,41.55,102.67,4/15/2019,PP,2019,001D,
2D,2D,48.41,119.62,4/15/2019,PP,2019,002D,
R1B,20D/4H,39.797,98.34,4/15/2019,PP,2019,R01B,
SPA,4C/10A,33.402,82.539,4/15/2019,PP,2019,Sp0A,
SPB,4D/WB,35.74,88.31,4/15/2019,PP,2019,Sp0B,
2C,2C,22.95,56.72,4/15/2019,PP,2019,002C,
WN2A,.,8.9,22,4/5/2019,PP,2019,WN02A,strip west of N2A
WN4A,.,5.3,13,4/5/2019,PP,2019,WN04A,Strip west of N4A
R1A,20A/3B3UA,48.66,120.241,4/5/2019,PP,2019,R01A,
1B,1B/WA,35.89,88.69,4/5/2019,PP,2019,001B,
N1A,N1A,60.03,148.322,4/2/2019,PP,2019,N01ASW,
N2B,N2B,118.78,293.511,4/2/2019,PP,2019,N02B,
N1B,N1B,120.683,298.214,4/2/2019,PP,2019,N01B,
4F,4F,16.37,40.44,4/2/2019,PP,2019,004F,
HQA,HQA,12.28,30.344,4/1/2019,PP,2019,0HQA,
HQB,HQB,14.92,36.868,4/1/2019,PP,2019,0HQB,
HQC,HQC,17.483,43.201,4/1/2019,PP,2019,0HQC,
HQE,HQE,8.094,20,4/1/2019,PP,2019,0HQE,restoration areas
N1A,N1A,34,84,3/22/2019,PP,2019,N01ANE,
N4B,N4B,56.775,140.293,3/22/2019,PP,2019,N04B,
K1B,K1B,105.138,259.801,3/22/2019,PP,2019,K01B,
C1SB,Texas Hog Pasture,76.36,188.69,3/20/2019,PP,2019,C1SB,
K1A,K1A,113.89,281.428,3/20/2019,PP,2019,K01A,
ALE,Brome field N of K4A,35.38,87.42,3/20/2019,PP,2019,0ALE,
ALD,Brome field S of K1,19.54,48.29,3/20/2019,PP,2019,0ALD,
C3SB,SB,226.265,559.112,3/18/2019,PP,2019,C3SB,
C3A,C3A,48.728,120.41,3/18/2019,PP,2019,C03A,
C1A,C1A,93.78,231.73,3/18/2019,PP,2019,C01A,
WA,WA,11.62,28.72,2/1/2019,PP,2019,00WA,
WB,WB,12.33,30.46,2/1/2019,PP,2019,00WB,
FA,FA,11.089,27.401,11/16/2018,PP,2018,00FA,
FB,FB,10.631,26.27,11/16/2018,PP,2018,00FB,
K20a,K20A,83.13,205.418,8/1/2018,PP,2018,K20A,
SuA,10C/3U3BC,22.86,56.488,8/1/2018,PP,2018,0SuA,
SuB,SuB,15.63,38.62,8/1/2018,PP,2018,0SuB,
R1A,20A/3B3UA,48.66,120.241,4/23/2018,PP,2018,R01A,
1D,1D,41.55,102.67,4/23/2018,PP,2018,001D,
4A,4A,18.84,46.56,4/23/2018,PP,2018,004A,
White Pasture,White Pasture,83.29,205.79,4/19/2018,PP,2018,WHIT,north 2/3 of white pasture. WHITE PASSURE N
White Pasture,White Pasture,41.64,102.9,4/17/2018,PP,2018,WHIT,south 1/3 of white pasture. WHITE PASSURE S
C3SC,SC,127.02,313.873,4/17/2018,PP,2018,C3SC,
C3C,C3C,102.423,253.093,4/17/2018,PP,2018,C03C,
C1A,C1A,93.78,231.73,4/17/2018,PP,2018,C01A,
2A,2A,28.3,69.94,3/30/2018,PP,2018,002A,
1B,1B/WA,35.89,88.69,3/30/2018,PP,2018,001B,
R1B,20D/4H,39.797,98.34,3/30/2018,PP,2018,R01B,
K1B,K1B/K4B,181.665,448.905,3/21/2018,PP,2018,K04B,
K2A,K2A,66.1,163.336,3/21/2018,PP,2018,K02A,
SpA,4C/10A,33.402,82.539,3/14/2018,wp,2018,0SpA,wildfire from I-70. unit was planned to be burned anyway
SpB,4D/WB,35.74,88.31,3/14/2018,wp,2018,0SpB,wildfire from I-70. unit was planned to be burned anyway
2B,2B/10B,14.4,35.59,3/14/2018,wp,2018,002B,wildfire from I-70. unit was planned to be burned anyway
N2A,N2A,101.215,250.107,3/13/2018,PP,2018,N02A,
N4C,N4C,77.842,192.351,3/13/2018,PP,2018,N04C,
N1A,N1A,33.83,83.596,3/12/2018,PP,2018,N01ANE,
Al,Brome field N of K4A,35.38,87.42,3/12/2018,PP,2018,0ALE,
Al,Brome field S of K1A,19.54,48.29,3/12/2018,PP,2018,0ALD,
K1A,K1A,113.89,281.428,3/12/2018,PP,2018,K01A,
HQD,HQD,28.25,69.807,3/9/2018,PP,2018,0HQD,
N1B,N1B,120.683,298.214,3/9/2018,PP,2018,N01B,
HQA,HQA,12.28,30.344,3/8/2018,PP,2018,0HQA,
HQB,HQB,14.92,36.868,3/8/2018,PP,2018,0HQB,
HQC,HQC,17.483,43.201,3/8/2018,PP,2018,0HQC,
Nature trail,Nature trail,60.726,150.056,3/1/2018,PP,2018,NATR,
C1SB,Texas Hog Pasture,76.36,188.69,3/1/2018,PP,2018,C1SB,
WA,WA,11.62,28.72,2/14/2018,PP,2018,00WA,
WB,WB,12.33,30.46,2/14/2018,PP,2018,00WB,
FA,FA,11.089,27.401,11/10/2017,PP,2017,00FA,
FB,FB,10.631,26.27,11/10/2017,PP,2017,00FB,
1D,1D,41.55,102.67,4/13/2017,PP,2017,001D,
2D,2D,48.41,119.62,4/13/2017,PP,2017,002D,
2C,2C,22.95,56.72,4/13/2017,PP,2017,002C,
Spa,4C/10A,33.402,82.539,4/13/2017,PP,2017,0SpA,
SpB,4D/WB,35.74,88.31,4/13/2017,PP,2017,0SpB,
R1A,20A/3B3UA,48.66,120.241,4/13/2017,PP,2017,R01A,
R1B,20D/4H,39.797,98.34,4/13/2017,PP,2017,R01B,
4B,4B,54.5,134.67,4/13/2017,PP,2017,004B,
20B,20B/UC/4B,23.77,58.75,4/13/2017,PP,2017,020B,
1B,1B/WA,35.89,88.69,4/13/2017,PP,2017,001B,
K1B/K4B,K1B,181.665,448.905,4/11/2017,PP,2017,K01B,
N1A,N1A,60.03,148.322,3/20/2017,PP,2017,N01ASW,
N2B,N2B,118.78,293.511,3/20/2017,PP,2017,N02B,
N4D,N4D,135.45,334.704,3/20/2017,PP,2017,N04D,
N1B,N1B,120.683,298.214,3/20/2017,PP,2017,N01B,
K20A,K20A,83.13,205.418,3/16/2017,PP,2017,K20A,
N1A,N1A,33.83,83.596,3/16/2017,PP,2017,N01ANE,
HQA,HQA,12.28,30.344,3/15/2017,PP,2017,0HQA,
HQB,HQB,14.92,36.868,3/15/2017,PP,2017,0HQB,
HQC,HQC,17.483,43.201,3/15/2017,PP,2017,0HQC,
C3SA,SA,102.076,252.235,3/10/2017,PP,2017,C3SA,
C1A,C1A,93.78,231.73,3/10/2017,PP,2017,C01A,
C3B,C3B,66.59,164.547,3/10/2017,PP,2017,C03B,
AL,Brome field S of K1A,19.54,48.29,3/9/2017,PP,2017,00AL,
K1A,K1A,113.89,281.428,3/9/2017,PP,2017,K01A,
C1SB,Texas Hog Pasture,76.36,188.69,3/9/2017,PP,2017,C1SB,
K4A,K4A,53.16,131.361,3/9/2017,PP,2017,K04A,
WA,WA,11.62,28.72,2/6/2017,PP,2017,00WA,
WB,WB,12.33,30.46,2/6/2017,PP,2017,00WB,
FA,FA,11.089,27.401,11/10/2016,PP,2016,00FA,
FB,FB,10.631,26.27,11/10/2016,PP,2016,00FB,
SuA,10C/3U3BC,22.86,56.488,7/26/2016,PP,2016,0SuA,
SuB,SuB,15.63,38.62,7/26/2016,PP,2016,0SuB,
2A,2A,28.3,69.94,5/3/2016,PP,2016,002A,
1B,1B/WA,35.89,88.69,5/3/2016,PP,2016,001B,
SpA,4C/10A,33.402,82.539,5/3/2016,PP,2016,0SpA,
SpB,4D/WB,35.74,88.31,5/3/2016,PP,2016,0SpB,
2B,2B/10B,14.4,35.59,5/3/2016,PP,2016,002B,
1D,1D,41.55,102.67,5/3/2016,PP,2016,001D,
R1B,20D/4H,39.797,98.34,5/3/2016,PP,2016,R01B,
K2A,K2A,66.1,163.336,4/13/2016,PP,2016,K02A,
K1B/K4B,K1B,181.665,448.905,4/13/2016,PP,2016,K01B,
N20B,N20B,84.364,208.467,4/13/2016,PP,2016,N20B,
N1B,N1B,120.683,298.214,4/13/2016,PP,2016,N01B,
Brome Field N of K4A,AL,35.38,87.38,4/12/2016,PP,2016,00AL,
K20A,K20A,83.13,205.418,4/12/2016,PP,2016,K20A,
N1A,N1A,60.03,148.322,4/12/2016,PP,2016,N01ASW,
Nature Trail,Nature Trail,60.726,150.056,4/11/2016,PP,2016,NATR,
K1A,K1A,113.89,281.428,4/4/2016,PP,2016,K01A,
C1SB,Texas Hog Pasture,76.36,188.69,4/4/2016,PP,2016,C1SB,
N1A,N1A,33.83,83.596,4/4/2016,PP,2016,N01ANE,
R1A,20A/3B3UA,48.66,120.241,3/28/2016,PP,2016,R01A,
HQD,HQD,28.25,69.807,3/17/2016,PP,2016,0HQD,
N4A,N4A,99.196,245.118,3/17/2016,PP,2016,N04A,
N2A,N2A,101.215,250.107,3/17/2016,PP,2016,N02A,
HQA,HQA,12.28,30.344,3/14/2016,PP,2016,0HQA,
HQB,HQB,14.92,36.868,3/14/2016,PP,2016,0HQB,
HQC,HQC,17.483,43.201,3/14/2016,PP,2016,0HQC,
C3SB,SB,226.265,559.112,3/11/2016,PP,2016,C3SB,
C3A,C3A,48.728,120.41,3/11/2016,PP,2016,C03A,
C1A,C1A,93.78,231.73,3/11/2016,PP,2016,C01A,
White Pasture,White Pasture,124.93,308.69,3/9/2016,PP,2016,WHIT,
WA,WA,11.62,28.72,1/29/2016,PP,2016,00WA,
WB,WB,12.33,30.46,1/29/2016,PP,2016,00WB,
FA,FA,11.089,27.401,11/13/2015,PP,2015,00FA,
FB,FB,10.631,26.27,11/13/2015,PP,2015,00FB,
R1A,20A/3B3UA,48.66,120.241,4/15/2015,PP,2015,R01A,
1B,1B/WA,35.89,88.69,4/15/2015,PP,2015,001B,
Brome Field S of K1A,AL,19.54,48.29,4/14/2015,PP,2015,,
Brome Field N of K4A,AL,35.38,87.38,4/14/2015,PP,2015,,
R1B,20D/4H,39.797,98.34,4/14/2015,PP,2015,R01B,
2D,2D,48.41,119.62,4/14/2015,PP,2015,002D,
1D,1D,41.55,102.67,4/14/2015,PP,2015,001D,
2C,2C,22.95,56.72,4/14/2015,PP,2015,002C,
4F,4F,16.37,40.44,4/14/2015,PP,2015,004F,
SpA,4C/10A,33.402,82.539,4/14/2015,PP,2015,0SpA,
SpB,4D/WB,35.74,88.31,4/14/2015,PP,2015,0SpB,
N1A,N1A,33.83,83.596,3/31/2015,PP,2015,N01ANE,
N4B,N4B,56.775,140.293,3/31/2015,PP,2015,N04B,
HQC,HQC,17.483,43.201,3/31/2015,PP,2015,0HQC,
N1A,N1A,60.03,148.322,3/26/2015,PP,2015,N01ASW,
N1B,N1B,120.683,298.214,3/26/2015,PP,2015,N01B,
N2B,N2B,118.78,293.511,3/26/2015,PP,2015,N02B,
K1B/K4B,K1B,181.665,448.905,3/20/2015,PP,2015,K01B,
K1A,K1A,113.89,281.428,3/12/2015,PP,2015,K01A,
K20A,K20A,83.13,205.418,3/12/2015,PP,2015,K20A,
C1SB,Texas Hog Pasture,76.36,188.69,3/12/2015,PU,2015,C1SB,
HQA,HQA,12.28,30.344,3/10/2015,PP,2015,0HQA,
HQB,HQB,14.92,36.868,3/10/2015,PP,2015,0HQB,
C3SC,SC,127.02,313.873,3/9/2015,PP,2015,C3SC,
C3C,C3C,102.423,253.093,3/9/2015,PP,2015,C03C,
C1A,C4D,93.78,231.73,3/9/2015,PP,2015,C01A,
WB,WB,12.33,30.46,1/30/2015,PP,2015,00WB,
WA,WA,11.62,28.72,1/30/2015,PP,2015,00WA,
FA,FA,11.089,27.401,11/25/2014,PP,2014,00FA,
FB,FB,10.631,26.27,11/25/2014,PP,2014,00FB,
SuA,10C/3U3BC,22.86,56.488,7/24/2014,PP,2014,0SuA,
SuB,SuB,15.63,38.62,7/24/2014,PP,2014,0SuB,
1B,1B/WA,35.89,88.69,4/18/2014,PP,2014,001B,
2A,2A,28.3,69.94,4/18/2014,PP,2014,002A,
4A,4A,18.84,46.56,4/15/2014,PP,2014,004A,
Belowground Plots,Belowground Plots,1.45,3.58,4/15/2014,PP,2014,LTERBG,
R1A,20A/3B3UA,48.66,120.241,4/15/2014,PP,2014,R01A,
1D,1D,41.55,102.67,4/11/2014,PP,2014,001D,
2B,2B/10B,14.4,35.59,4/11/2014,PP,2014,002B,
R1B,20D/4H,39.797,98.34,4/11/2014,PP,2014,R01B,
N1B,N1B,120.683,298.214,4/11/2014,PP,2014,N01B,
SpA,4C/10A,33.402,82.539,4/11/2014,PP,2014,0SpA,
SpB,4D/WB,35.74,88.31,4/11/2014,PP,2014,0SpB,
C3SA,SA,102.076,252.235,4/1/2014,PP,2014,S00A,
AL,Brome field N of K4A,35.38,87.42,4/1/2014,PP,2014,,
C1SB,Texas Hog Pasture,76.36,188.69,4/1/2014,PP,2014,C1SB,
Nature Trail,Nature Trail,60.726,150.056,4/1/2014,PP,2014,NATR,
AL,Brome field S of K1A,19.54,48.29,3/29/2014,PP,2014,,
K2A,K2A,66.1,163.336,3/29/2014,PP,2014,K02A,
K1B/K4B,K1B,181.665,448.905,3/29/2014,PP,2014,K01B,
K1A,K1A,113.89,281.428,3/28/2014,PP,2014,K01A,
K20A,K20A,83.13,205.418,3/28/2014,PP,2014,K20A,
N1A,N1A,33.83,83.596,3/28/2014,PP,2014,N01ANE,
N2A,N2A,101.215,250.107,3/27/2014,PP,2014,N02A,
C3B,C3B,66.59,164.547,3/23/2014,PP,2014,C03B,
C1A,C4D,93.78,231.73,3/23/2014,PP,2014,C01A,
N4C,N4C,77.842,192.351,3/10/2014,PP,2014,N04C,
N1A,N1A,60.03,148.322,3/10/2014,PP,2014,N01ASW,
HQD,HQD,28.25,69.807,3/10/2014,PP,2014,0HQD,
HQA,HQA,12.28,30.344,3/7/2014,PP,2014,0HQA,
HQB,HQB,14.92,36.868,3/7/2014,PP,2014,0HQB,
HQC,HQC,17.483,43.201,3/7/2014,PP,2014,0HQC,
WA,WA,11.62,28.72,2/23/2014,PP,2014,00WA,
WB,WB,12.33,30.46,2/23/2014,PP,2014,00WB,
FB,FB,10.631,26.27,11/14/2013,PP,2013,00FB,
FA,FA,11.089,27.401,11/14/2013,PP,2013,00FA,
K1B/K4B,K1B,181.665,448.905,4/29/2013,PP,2013,K01B,
R1A,20A/3B3UA,48.66,120.241,4/29/2013,PP,2013,R01A,
Belowground Plots,Belowground Plots,1.45,3.58,4/25/2013,PP,2013,LTERBG,
SpB,4D/WB,35.74,88.31,4/13/2013,PP,2013,0SpB,
SpA,4C/10A,33.402,82.539,4/13/2013,PP,2013,0SpA,
1B,1B/WA,35.89,88.69,4/13/2013,PP,2013,001B,
4B,4B,54.5,134.67,4/13/2013,PP,2013,004B,
Vetch Hill - South of 2C,Vetch Hill - South of 2C,1.002,2.475,4/8/2013,PP,2013,N/A,
R1B,20D/4H,39.797,98.34,4/8/2013,PP,2013,R01B,
1D,1D,41.55,102.67,4/8/2013,PP,2013,001D,
2D,2D,48.41,119.62,4/8/2013,PP,2013,002D,
2C,2C,22.95,56.72,4/8/2013,PP,2013,002C,
N1A,N1A,60.03,148.322,4/3/2013,PP,2013,N01ASW,
N1B,N1B,120.683,298.214,4/3/2013,PP,2013,N01B,
N4D,N4D,135.45,334.704,4/3/2013,PP,2013,N04D,
N2B,N2B,118.78,293.511,4/3/2013,PP,2013,N02B,
White Pasture,White Pasture,124.93,308.69,3/29/2013,PP,2013,WHIT,
C1A,C4D,93.78,231.73,3/28/2013,PP,2013,C01A,
C3SB,SB,226.265,559.112,3/28/2013,PP,2013,C3SB,
C3A,C3A,48.728,120.41,3/28/2013,PP,2013,C03A,
N1A,N1A,33.83,83.596,3/20/2013,PP,2013,N01ANE,
Nature Trail,Nature Trail,60.726,150.056,3/20/2013,PP,2013,NATR,
C1SB,Texas Hog Pasture,76.36,188.69,3/20/2013,PP,2013,C1SB,
K4A,K4A,53.16,131.361,3/15/2013,PP,2013,K04A,
K20A,K20A,83.13,205.418,3/15/2013,PP,2013,K20A,
AL,Brome field N of K4A,35.38,87.42,3/15/2013,PP,2013,.,
AL,Brome field S of K1A,19.54,48.29,3/15/2013,PP,2013,.,
Nature Trail - North Hill,Nature Trail,33.076,81.732,3/14/2013,PP,2013,NATR,
HQ Restoration Plots,Restoration Plots,5.718,14.129,3/14/2013,PP,2013,0HQR,
K1A,K1A,113.89,281.428,3/14/2013,PP,2013,K01A,
HQC,HQC,17.483,43.201,3/13/2013,PP,2013,0HQC,
HQB,HQB,14.92,36.868,3/13/2013,PP,2013,0HQB,
HQA,HQA,12.28,30.344,3/13/2013,PP,2013,0HQA,
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,3/6/2013,PP,2013,.,
WB,WB,12.33,30.46,3/6/2013,PP,2013,00WB,
WA,WA,11.62,28.72,3/6/2013,PP,2013,00WA,
FA,FA,11.089,27.401,11/14/2012,PP,2012,00FA,
FB,FB,10.631,26.27,11/14/2012,PP,2012,00FB,
1B,1B/WA,35.89,88.69,4/21/2012,PP,2012,001B,
2A,2A,28.3,69.94,4/21/2012,PP,2012,002A,
AL,Brome Field E of hay barn,6.857,16.94,4/20/2012,PP,2012,.,
HQ Restoration Plots,Restoration Plots,2.735,6.76,4/20/2012,PP,2012,0HQR,
AL,Brome Field N of K,35.38,87.42,4/17/2012,PP,2012,.,
2B,2B/10B,14.4,35.59,4/17/2012,PP,2012,002B,
R1A,20A/3B3UA,48.66,120.241,4/17/2012,PP,2012,R01A,
SpA,4C/10A,33.402,82.539,4/17/2012,PP,2012,0SpA,
SpB,4D/WB,35.74,88.31,4/17/2012,PP,2012,0SpB,
HQC,HQC,17.483,43.201,4/11/2012,PP,2012,0HQC,
HQ Restoration Plots,Restoration Plots,2.424,5.991,4/11/2012,PP,2012,0HQR,
N1B,N1B,120.683,298.214,4/11/2012,PP,2012,N01B,
White Pasture,White Pasture,166.82,412.22,4/10/2012,PP,2012,WHIT,
Belowground Plots,Belowground Plots,1.45,3.58,4/9/2012,PP,2012,LTERBG,
C1SB,Texas Hog Pasture,76.36,188.69,4/9/2012,PP,2012,C1SB,
1D,1D,41.55,102.67,4/9/2012,PP,2012,001D,
K1A,K1A,113.89,281.428,4/3/2012,PP,2012,K01A,
AL,Brome Field N of N,,48.29,4/3/2012,PP,2012,.,
K20A,K20A,83.13,205.418,4/3/2012,PP,2012,K20A,
Nature Trail,Nature Trail,33.076,81.733,4/3/2012,PP,2012,NATR,
N1A,N1A,33.83,83.596,4/3/2012,PP,2012,N01ANE,
N20A,N20A,82.98,205.048,3/31/2012,PP,2012,N20A,
K1B/K4B,K1B,181.665,448.905,3/31/2012,PP,2012,K01B,
N1A,N1A,60.03,148.322,3/31/2012,PP,2012,N01ASW,
C3C,C3C,102.423,253.093,3/28/2012,PP,2012,C03C,
C3SC,SC,127.02,313.873,3/28/2012,PP,2012,C3SC,
C1A,C4D,93.78,231.73,3/28/2012,PP,2012,C01A,
HQD,HQD,28.25,69.807,3/27/2012,PP,2012,0HQD,
N4A,N4A,99.196,245.118,3/27/2012,PP,2012,N04A,
N2A,N2A,101.215,250.107,3/27/2012,PP,2012,N02A,
20C,20C/3B3UD,36.07,89.13,3/15/2012,PP,2012,020C,
R1B,20D/4H,39.797,98.34,3/15/2012,PP,2012,R01B,
HQA,HQA,12.28,30.344,3/9/2012,PP,2012,0HQA,
HQB,HQB,14.92,36.868,3/9/2012,PP,2012,0HQB,
K2A,K2A,66.1,163.336,3/9/2012,PP,2012,K02A,
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,2/2/2012,PP,2012,.,
WA,WA,11.62,28.72,2/1/2012,PP,2012,00WA,
WB,WB,12.33,30.46,2/1/2012,PP,2012,00WB,
FB,FB,10.631,26.27,11/23/2011,PP,2011,00FB,
FA,FA,11.089,27.401,11/23/2011,PP,2011,00FA,
K2A,K2A,66.1,163.336,9/19/2011,WU,2011,K02A,
K20A,K20A,83.13,205.418,9/19/2011,WU,2011,K20A,
SuB,SuB,15.63,38.62,8/19/2011,PP,2011,0SuB,
SuA,10C/3U3BC,16.002,39.541,8/18/2011,PP,2011,0SuA,
UN07,UN07,3.694,9.128,7/20/2011,WU,2011,UN07,
WA,WA,11.62,28.72,7/20/2011,WP,2011,00WA,
SuA,10C/3U3BC,6.858,16.946,7/20/2011,WU,2011,0SuA,
R20B,1C,5,12.36,7/20/2011,WU,2011,R20B,
4F,4F,16.37,40.44,7/20/2011,WP,2011,004F,
FB,FB,10.631,26.27,7/20/2011,WU,2011,00FB,
R1A,20A/3B3UA,48.66,120.241,5/2/2011,PP,2011,R01A,
HQC,HQC,17.483,43.201,4/28/2011,PP,2011,0HQC,
SpB,4D/WB,35.74,88.31,4/26/2011,PP,2011,0SpB,
SpA,4C/10A,33.355,82.422,4/26/2011,PP,2011,0SpA,
R1B,20D/4H,39.797,98.34,4/26/2011,PP,2011,RO1B,
1B,1B/WA,35.89,88.69,4/26/2011,PP,2011,001B,
1D,1D,41.55,102.67,4/26/2011,PP,2011,001D,
2D,2D,48.41,119.62,4/26/2011,PP,2011,002D,
Belowground Plots,Belowground Plots,1.45,3.58,4/23/2011,PP,2011,LTERBG,
White Pasture,White Pasture,166.82,412.22,4/18/2011,PP,2011,WHIT,
Nature Trail,Nature Trail,101.87,251.726,4/18/2011,PP,2011,NATR,
K1B/K4B,K1B,181.665,448.905,4/17/2011,PP,2011,K04B,
C1SB,Texas Hog Pasture,76.36,188.69,4/17/2011,PP,2011,C1SB,
N1B,N1B,120.683,298.214,4/13/2011,PP,2011,N01B,
N2B,N2B,118.78,293.511,4/13/2011,PP,2011,N02B,
4F,4F,16.37,40.44,4/13/2011,PP,2011,004F,
2C,2C,22.95,56.72,4/13/2011,PP,2011,002C,
N1A,N1A,60.03,148.322,4/12/2011,PP,2011,N01ASW,
C3SA,SA,102.076,252.235,4/12/2011,PP,2011,S00A,
N4B,N4B,56.775,140.293,3/24/2011,PP,2011,N04B,
C1A,C4D,93.78,231.73,3/24/2011,PP,2011,C01A,
C3B,C3B,66.59,164.547,3/24/2011,PP,2011,C03B,
N1A,N1A,33.83,83.596,3/23/2011,PP,2011,N01ANE,
K1A,K1A,113.89,281.428,3/12/2011,PP,2011,K01A,
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,3/3/2011,PP,2011,.,
HQB,HQB,14.919,36.866,3/3/2011,PP,2011,0HQB,
HQA,HQA,12.28,30.344,3/3/2011,PP,2011,0HQA,
WB,WB,12.33,30.46,2/18/2011,PP,2011,00WB,
WA,WA,11.62,28.72,2/18/2011,PP,2011,00WA,
FA,FA,11,27,11/18/2010,PP,2010,00FA,
FB,FB,11,27,11/18/2010,PP,2010,00FB,
1B,1B/WA,35.89,88.69,5/1/2010,PP,2010,001B,
2A,2A,27.96,69.1,5/1/2010,PP,2010,002A,
