site_code,site_project_comm,project_name,community_type,location,Country,Continent,Lat,Long,MAP_mm,plot_size,spatial_extent,succession,lifespan,trophic_level,taxa,ANPP,broad_ecosystem_type,num_plots,temp_C,dataset_length,time_step
NTL,NTL_NTL_Fish_0,NTL_Fish,0,"North Temperate Lakes LTER, Wisconsin",USA,North America,46.012194,-89.671938,797.56,7057818,1.20E+10,no,longer,consumer,fish,128,lake,11,4.444444444,32,1
NTL,NTL_ZOO_0,ZOO,0,"North Temperate Lakes LTER, Wisconsin",USA,North America,46.012194,-89.671938,797.56,1,6.00E+07,no,subannual,consumer,zooplankton,128,lake,8,4.44444444,34,0.25
NWT,NWT_bowman_DryBowman,bowman,DryBowman,"Niwot Ridge LTER, Colorado",USA,North America,40.03245,-105.53529,841.248,1,1620,no,longer,primary,plants,199,herbaceous,5,2.055555556,9,1
OND,OND_INVERTS_0,INVERTS,0,"Oneida Lake, New York",USA,North America,43.19972,-75.907615,1122.172,0.125,5.00E+06,no,annual,consumer,invertebrates,NA,lake,3,8.555555556,14,0.038461538
OND,OND_PHYTOS_0,PHYTOS,0,"Oneida Lake, New York",USA,North America,45.63126,-89.630048,794.258,0.11,5.00E+06,no,subannual,primary,phytoplankton,NA,lake,3,4.722222222,19,0.083333333
OND,OND_ZOOPS_0,ZOOPS,0,"Oneida Lake, New York",USA,North America,45.63126,-89.630048,794.258,0.78,5.00E+06,no,subannual,consumer,zooplankton,NA,lake,5,4.722222222,31,0.055555556
PIE,PIE_TIDE_0,TIDE,0,"Plum Island Estuary LTER, Massachusetts",USA,North America,42.258845,-70.856035,1298.956,0.52,160000,no,longer,primary,plants,1118,herbaceous,6,10.11111111,8,1
SAG,SAG_Saginaw Bay benthic inverts_0,Saginaw Bay benthic inverts,0,"Saginaw Bay, Michigan",USA,North America,43.841409,-83.628185,785.368,0.047,2.96E+11,no,annual,consumer,invertebrates,NA,lake,11,8.555555556,9,1
SEV,SEV_grasshopper_BOER,grasshopper,BOER,"Sevilleta LTER, New Mexico",USA,North America,34.341743,-106.972557,234.95,500,25000,no,annual,consumer,invertebrates,75,herbaceous,5,13.77777778,22,1
SEV,SEV_grasshopper_BOGR,grasshopper,BOGR,"Sevilleta LTER, New Mexico",USA,North America,34.341743,-106.972557,234.95,500,25000,no,annual,consumer,invertebrates,75,herbaceous,5,13.77777778,22,1
SEV,SEV_grasshopper_LATR,grasshopper,LATR,"Sevilleta LTER, New Mexico",USA,North America,34.341743,-106.972557,234.95,500,25000,no,annual,consumer,invertebrates,75,herbaceous,5,13.77777778,22,1
SEV,SEV_grasshopper_PJ,grasshopper,PJ,"Sevilleta LTER, New Mexico",USA,North America,34.341743,-106.972557,234.95,500,25000,no,annual,consumer,invertebrates,75,herbaceous,5,13.77777778,22,1
SEV,SEV_Nfert_0,Nfert,0,"Sevilleta LTER, New Mexico",USA,North America,34.341743,-106.972557,234.95,4,500,no,longer,primary,plants,75,herbaceous,10,13.77777778,11,1
SEV,SEV_veg_B,veg,B,"Sevilleta LTER, New Mexico",USA,North America,34.341743,-106.972557,234.95,1,90000,no,longer,primary,plants,75,herbaceous,30,13.77777778,13,1
SEV,SEV_veg_C,veg,C,"Sevilleta LTER, New Mexico",USA,North America,34.341743,-106.972557,234.95,1,90000,no,longer,primary,plants,75,herbaceous,30,13.77777778,13,1
SEV,SEV_veg_G,veg,G,"Sevilleta LTER, New Mexico",USA,North America,34.341743,-106.972557,234.95,1,90000,no,longer,primary,plants,75,herbaceous,30,13.77777778,13,1
SGS,SGS_UNUN_0,UNUN,0,"Short Grass Steppe LTER, Colorado",USA,North America,40.787039,-104.750827,339.09,0.1,900,no,longer,primary,plants,116,herbaceous,20,8.666666667,14,1
VAC,VAC_ebrp_0,ebrp,0,"Vasco Cave Regional Park, California",USA,North America,34.477708,-118.319842,417.068,17,8.00E+05,no,annual,primary,plants,NA,herbaceous,6,16.94444444,9,1
WDNR,WDNR_WIRIVER_0,WIRIVER,0,"Lower Wisconsin River, Wisconsin",USA,North America,43.256589,-89.736993,842.264,12875,55000,no,longer,consumer,fish,NA,river,10,8.055555556,16,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
